date,open,high,low,close,volume,dividend_amount
2005-01-03,388.7685,407.0464,388.7685,405.9997,11842921.0,0.0
2005-01-04,399.9444,407.3827,395.8329,396.8048,10059943.0,0.0
2005-01-05,392.8427,399.197,385.9277,396.1319,16954266.0,0.0
2005-01-06,392.469,401.0658,390.6747,393.1791,13446517.0,0.0
2005-01-07,394.7115,409.2889,394.3751,404.3176,16969845.0,0.0
2005-01-10,409.5132,413.9987,396.3936,398.8231,8748949.0,0.0
2005-01-11,400.0567,400.0567,391.0112,392.9174,7562134.0,0.0
2005-01-12,389.4786,396.8795,384.9933,387.4602,14471144.0,0.0
2005-01-13,389.4786,392.8427,387.9835,388.8805,13579018.0,0.0
2005-01-14,390.2262,390.9737,382.0778,383.7599,13240871.0,0.0
2005-01-17,384.2457,387.236,377.5925,382.3395,16627639.0,0.0
2005-01-18,384.9933,390.4132,380.6948,382.1899,24124437.0,0.0
2005-01-19,384.9933,387.2734,382.0031,383.6103,12841720.0,0.0
2005-01-20,382.0031,384.769,376.8449,382.1525,12692316.0,0.0
2005-01-24,387.236,389.8525,377.555,378.639,16274938.0,0.0
2005-01-25,378.2653,381.5171,372.4343,374.8265,25753804.0,0.0
2005-01-27,377.5176,383.4982,376.0225,378.4147,19629826.0,0.0
2005-01-28,377.5176,391.6466,377.5176,390.7869,16599437.0,0.0
2005-01-31,391.3476,399.795,390.5999,398.1877,10334781.0,0.0
2005-02-01,399.9444,408.8778,396.2815,405.626,20762862.0,0.0
2005-02-02,408.9152,409.2889,391.7213,399.0847,8222761.0,0.0
2005-02-03,399.9444,406.2987,399.9444,404.5046,4228854.0,0.0
2005-02-04,405.1774,407.7191,398.113,400.9537,7166149.0,0.0
2005-02-07,401.8134,403.6076,389.4786,396.3189,4690239.0,0.0
2005-02-08,394.7115,400.879,394.7115,398.711,4599088.0,0.0
2005-02-09,399.9818,403.6449,399.4213,401.5518,3720797.0,0.0
2005-02-10,403.6823,407.0464,397.328,405.4764,5837618.0,0.0
2005-02-11,405.925,412.5783,405.925,410.0739,10479481.0,0.0
2005-02-14,410.4103,413.9987,402.6731,406.0371,7320577.0,0.0
2005-02-15,406.6724,407.4201,399.496,402.8973,7536884.0,0.0
2005-02-16,403.7945,406.4483,398.4493,399.7577,5738989.0,0.0
2005-02-17,398.1503,401.8134,396.3189,400.0193,5501256.0,0.0
2005-02-18,403.6823,405.5513,397.328,399.5334,6184730.0,0.0
2005-02-21,399.5707,402.8973,397.1786,399.0474,5526893.0,0.0
2005-02-22,396.9542,404.4299,396.9542,403.4206,5948588.0,0.0
2005-02-23,402.8599,411.0083,402.1872,409.7002,8273673.0,0.0
2005-02-24,411.1579,413.9987,407.7938,408.6535,24758001.0,0.0
2005-02-25,411.1579,411.7186,402.3368,403.6076,6538574.0,0.0
2005-02-28,403.6823,418.5587,400.0193,415.6806,17095800.0,0.0
2005-03-01,416.3908,417.1383,407.0837,408.7658,8714141.0,0.0
2005-03-02,405.1774,412.2793,405.1774,410.2609,7191553.0,0.0
2005-03-03,411.1579,420.0164,411.1579,417.4747,8993442.0,0.0
2005-03-04,418.6334,428.5386,418.6334,427.5294,13061347.0,0.0
2005-03-07,429.0992,440.3874,428.3518,437.7336,9908633.0,0.0
2005-03-08,437.7336,443.3776,434.7061,441.4341,12225480.0,0.0
2005-03-09,444.798,449.1339,436.687,439.1167,12735447.0,0.0
2005-03-10,438.8176,446.4427,435.0798,444.0132,7947446.0,0.0
2005-03-11,444.0506,449.2086,437.472,439.3034,10156352.0,0.0
2005-03-14,439.5651,444.0506,430.0338,432.426,7094704.0,0.0
2005-03-15,433.5847,436.5002,425.5857,426.5203,8498424.0,0.0
2005-03-16,425.399,431.641,424.2402,428.7629,9701855.0,0.0
2005-03-17,429.0992,429.0992,417.5869,420.0911,9000282.0,0.0
2005-03-18,422.3712,428.6508,418.6334,427.3425,8801929.0,0.0
2005-03-21,426.1091,429.0992,417.1383,418.297,5688158.0,0.0
2005-03-22,419.381,419.381,404.4673,407.009,8615830.0,0.0
2005-03-23,404.4299,426.3707,403.6076,413.5127,26559212.0,0.0
2005-03-24,415.6432,424.5393,415.2695,418.7083,15010568.0,0.0
2005-03-28,420.8761,428.9498,419.4557,423.9039,7223688.0,0.0
2005-03-29,425.3616,425.3616,408.5788,410.3729,9006125.0,0.0
2005-03-30,411.1579,414.5218,403.1216,405.925,11776334.0,0.0
2005-03-31,407.4201,413.5874,406.5977,408.1302,7709281.0,0.0
2005-04-01,407.4201,423.8663,407.4201,421.9228,8206766.0,0.0
2005-04-04,422.3712,425.0626,417.7363,422.1471,4431702.0,0.0
2005-04-05,421.6238,425.212,413.5874,415.3815,6684122.0,0.0
2005-04-06,415.8302,427.9405,415.8302,426.7071,10569458.0,0.0
2005-04-07,426.8567,431.342,421.2498,422.7076,6241259.0,0.0
2005-04-08,420.1287,423.7916,413.4754,416.5029,6649673.0,0.0
2005-04-11,416.5029,416.5029,408.2424,409.0648,3831270.0,0.0
2005-04-12,409.6628,412.653,407.4201,410.0739,6157623.0,0.0
2005-04-13,411.1579,413.3258,405.9997,407.7565,3961264.0,0.0
2005-04-15,407.4201,407.4201,393.2164,395.9825,7280572.0,0.0
2005-04-18,393.9267,393.9267,385.7409,387.4602,6694358.0,0.0
2005-04-19,389.1049,396.2066,382.8255,384.3206,6287661.0,0.0
2005-04-20,384.9933,397.627,384.9933,396.3562,6854580.0,0.0
2005-04-21,396.2066,408.1302,392.5437,405.4764,8858914.0,0.0
2005-04-22,409.4759,410.2609,401.4395,408.6162,8647901.0,0.0
2005-04-25,404.4299,410.4103,403.4206,408.5788,5843764.0,0.0
2005-04-26,407.4201,411.4943,404.6916,409.0648,5695701.0,0.0
2005-04-27,413.3258,418.3344,398.8606,403.0095,22660126.0,0.0
2005-04-28,401.9629,406.9715,398.6736,405.6633,11680167.0,0.0
2005-04-29,405.925,406.6724,392.5437,394.4874,7292464.0,0.0
2005-05-02,393.9641,400.094,391.983,399.1596,4981254.0,0.0
2005-05-03,399.197,406.0744,397.7019,404.2056,7366639.0,0.0
2005-05-04,403.6823,407.3454,403.0095,404.4299,4741894.0,0.0
2005-05-05,407.4948,408.9152,402.3741,404.1682,3926217.0,0.0
2005-05-06,403.6823,411.4569,403.6823,410.2609,8311586.0,0.0
2005-05-09,408.9152,414.8209,408.3545,413.737,5743209.0,0.0
2005-05-10,413.7744,416.5403,405.925,406.523,4591581.0,0.0
2005-05-11,405.925,409.1021,403.7945,405.4764,5950462.0,0.0
2005-05-12,387.9835,404.7663,387.9835,402.9348,9965743.0,1.3885
2005-05-13,403.2338,403.2338,399.2717,400.8415,3431114.0,0.0
2005-05-16,400.8415,406.2987,400.8415,403.8319,4911032.0,0.0
2005-05-17,404.0935,406.6724,392.469,393.2164,7644587.0,0.0
2005-05-18,407.4201,407.4201,392.4316,396.1319,7941349.0,0.0
2005-05-19,397.2906,399.9444,390.6373,391.8709,5505774.0,0.0
2005-05-20,390.0766,393.5901,385.3297,389.0302,8050651.0,0.0
2005-05-23,389.8525,398.2999,389.8525,397.0289,3373859.0,0.0
2005-05-24,399.1221,400.6921,394.0761,396.5432,5743592.0,0.0
2005-05-25,396.5805,399.0474,393.4034,396.5805,6661496.0,0.0
2005-05-26,397.7019,398.5989,393.5901,396.7673,12258939.0,0.0
2005-05-27,396.2066,403.0842,395.5712,396.9169,7758562.0,0.0
2005-05-30,396.9542,399.8697,392.6557,393.7024,4156702.0,0.0
2005-05-31,393.7024,401.9255,391.796,400.1314,6978598.0,0.0
2005-06-01,401.4395,406.6724,400.7294,403.9813,5746653.0,0.0
2005-06-02,404.4673,405.925,395.1975,395.9825,5704920.0,0.0
2005-06-03,396.3936,414.8958,396.3936,413.3258,14989276.0,0.0
2005-06-06,417.1383,423.1189,409.8496,412.5034,9070016.0,0.0
2005-06-07,411.9054,415.4189,407.2705,409.5132,6873450.0,0.0
2005-06-08,409.7375,418.6334,409.7375,417.5122,8153654.0,0.0
2005-06-09,417.9606,421.9975,416.7646,417.8859,6147709.0,0.0
2005-06-10,418.6334,425.6231,418.6334,423.6796,9419562.0,0.0
2005-06-13,427.8658,427.8658,418.7456,425.6606,5976815.0,0.0
2005-06-14,426.8567,430.0338,422.3712,429.3609,8108044.0,0.0
2005-06-15,429.8469,431.342,425.9223,429.8095,6773032.0,0.0
2005-06-16,431.2673,444.5739,430.0712,441.6584,12594849.0,0.0
2005-06-17,444.0506,454.8154,436.6123,449.1712,14529417.0,0.0
2005-06-20,457.5066,482.6993,457.5066,471.2617,39639174.0,0.0
2005-06-21,471.2617,485.0916,459.8987,482.8489,25877462.0,0.0
2005-06-22,482.9236,493.3147,478.812,490.0255,19089622.0,0.0
2005-06-23,493.3147,493.3147,483.1479,486.3624,12195251.0,0.0
2005-06-24,482.2135,492.2681,480.0828,489.4275,8609139.0,0.0
2005-06-27,490.3992,504.6029,482.2508,484.7177,19864825.0,0.0
2005-06-28,500.8651,500.8651,468.7199,470.2899,14924077.0,0.0
2005-06-29,461.8425,483.6712,461.8425,480.0081,13971958.0,0.0
2005-06-30,479.9707,488.2312,475.5975,479.8587,6955290.0,0.0
2005-07-01,479.9707,482.1761,476.2703,478.1766,3596473.0,0.0
2005-07-04,479.1857,485.3533,477.6907,481.3164,5187474.0,0.0
2005-07-05,480.6435,485.9138,475.8218,477.13,6849521.0,0.0
2005-07-06,478.4383,483.5216,478.4383,482.2508,8851363.0,0.0
2005-07-07,479.9334,482.1761,455.3012,458.8896,14716060.0,0.0
2005-07-08,467.2248,470.7383,459.824,463.9356,9046187.0,0.0
2005-07-11,467.2248,474.9995,465.356,473.168,6113539.0,0.0
2005-07-12,472.4577,481.0548,471.3739,477.0926,8380884.0,0.0
2005-07-13,476.9432,480.2324,470.2152,471.486,4292651.0,0.0
2005-07-14,471.897,483.6712,464.6832,480.0081,12864527.0,0.0
2005-07-15,482.1761,500.6034,482.1012,498.3233,11557709.0,0.0
2005-07-18,500.8651,503.8553,491.8943,494.3238,32242358.0,0.0
2005-07-19,495.6322,501.6874,494.3238,496.9777,5677735.0,0.0
2005-07-20,497.8749,510.2096,497.8749,507.4811,6866323.0,0.0
2005-07-21,509.8359,512.826,501.2388,507.4061,6045324.0,0.0
2005-07-22,503.2946,517.2366,503.2946,515.5919,5442292.0,0.0
2005-07-25,514.3211,520.0027,512.1157,513.9101,6769410.0,0.0
2005-07-26,515.1435,517.6852,508.4902,516.6012,6904358.0,0.0
2005-07-27,517.6852,526.9548,515.4425,522.0958,13153051.0,0.0
2005-07-29,523.2172,531.7767,518.8064,525.4597,10395514.0,0.0
2005-08-01,521.7968,530.73,518.1337,529.3472,5725114.0,0.0
2005-08-02,528.5248,558.3524,528.5248,554.6521,16077404.0,0.0
2005-08-03,553.9418,568.1455,530.7676,533.5334,55046357.0,0.0
2005-08-04,541.8314,559.9224,538.729,544.971,27617382.0,0.0
2005-08-05,549.0452,549.0452,540.6727,542.5415,20227767.0,0.0
2005-08-08,546.4661,552.3346,528.9359,531.8887,16378067.0,0.0
2005-08-09,534.5052,541.6071,525.1607,528.7491,14968778.0,0.0
2005-08-10,531.515,539.7381,530.6179,537.6823,9228562.0,0.0
2005-08-11,538.243,545.644,533.0848,536.0378,10220165.0,0.0
2005-08-12,538.0187,540.0745,524.787,526.0578,9542828.0,0.0
2005-08-16,527.0297,530.73,519.9278,523.1796,7851005.0,0.0
2005-08-17,523.3666,536.2995,519.6288,534.1688,8276100.0,0.0
2005-08-18,538.243,543.1022,527.2165,529.7956,11071716.0,0.0
2005-08-19,530.0199,537.645,524.8617,527.4408,8452959.0,0.0
2005-08-22,530.7676,533.3091,518.9934,522.6938,6941577.0,0.0
2005-08-23,525.5346,527.7772,510.7329,512.2654,10815513.0,0.0
2005-08-24,513.5735,520.7875,510.9946,519.4044,11474686.0,0.0
2005-08-25,521.7968,523.6283,517.3113,520.6381,6523589.0,0.0
2005-08-26,523.2919,526.2821,518.657,522.2079,5980320.0,0.0
2005-08-29,525.5346,528.7865,518.059,523.2919,7199984.0,0.0
2005-08-30,524.8243,530.4683,522.6938,529.0106,5426915.0,0.0
2005-08-31,530.7676,541.2332,529.2723,537.9066,9468992.0,0.0
2005-09-01,537.4956,545.7187,534.5052,543.2892,7055284.0,0.0
2005-09-02,543.4759,547.8865,538.243,546.3541,7969692.0,0.0
2005-09-05,546.8027,551.2506,544.2236,546.1671,4240447.0,0.0
2005-09-06,546.4661,549.2695,542.0929,545.0084,3722469.0,0.0
2005-09-08,547.9614,557.4553,547.9614,552.0356,11309570.0,0.0
2005-09-09,550.9516,556.932,549.5312,554.0165,6215480.0,0.0
2005-09-12,556.932,564.4076,556.3713,563.0246,4344544.0,0.0
2005-09-13,563.2863,567.3978,560.4081,562.1649,6253474.0,0.0
2005-09-14,560.0344,564.4076,550.5779,553.7548,6869723.0,0.0
2005-09-15,553.1943,571.36,553.1943,568.7809,7674529.0,0.0
2005-09-16,571.173,573.7521,565.5664,571.472,6170084.0,0.0
2005-09-19,571.958,573.3784,566.7998,571.5843,3367717.0,0.0
2005-09-20,571.8833,584.5543,564.6693,581.9752,14138758.0,0.0
2005-09-21,577.1162,586.8344,560.6698,585.115,20206914.0,0.0
2005-09-22,583.8442,586.4607,560.7445,564.445,13793427.0,0.0
2005-09-23,566.6504,571.1357,552.4467,559.399,17697944.0,0.0
2005-09-26,563.66,586.3858,560.6698,583.4703,13958322.0,0.0
2005-09-27,588.7032,594.8332,583.0966,588.8902,12871049.0,0.0
2005-09-28,588.3295,600.2905,586.8344,598.272,12963076.0,0.0
2005-09-29,602.0099,608.1399,598.9074,604.1779,11524464.0,0.0
2005-09-30,599.543,605.5234,584.031,593.1887,11896357.0,0.0
2005-10-03,592.815,599.6177,590.5723,593.7121,8498945.0,0.0
2005-10-04,596.1416,603.9536,593.9362,602.5332,7689664.0,0.0
2005-10-05,605.374,605.5234,596.9639,599.5057,7074829.0,0.0
2005-10-06,597.3003,597.3003,586.9091,591.2077,11882406.0,0.0
2005-10-07,590.946,594.3101,580.8539,589.7873,13342739.0,0.0
2005-10-10,590.5723,592.6654,583.8442,585.7131,6680710.0,0.0
2005-10-11,586.8344,590.5723,578.1253,589.2639,9591645.0,0.0
2005-10-13,590.5723,592.0674,577.5647,579.4337,11638624.0,0.0
2005-10-14,580.8539,580.8539,569.3415,570.8366,13174489.0,0.0
2005-10-17,575.6211,579.6578,567.7717,576.5929,11480861.0,0.0
2005-10-18,579.471,583.6199,560.7072,566.1644,12463972.0,0.0
2005-10-19,563.66,566.5008,553.9418,559.0627,16062928.0,0.0
2005-10-20,564.3329,569.491,550.9516,559.4364,11772316.0,0.0
2005-10-21,560.5204,577.1162,555.5865,575.9575,19019352.0,0.0
2005-10-24,586.8344,586.8344,563.3236,565.7533,9716699.0,0.0
2005-10-25,575.5462,582.7976,566.3514,573.7895,11103580.0,0.0
2005-10-26,572.4064,578.7981,569.6406,571.0236,6326971.0,0.0
2005-10-27,571.958,575.3968,557.6796,561.5669,16419077.0,0.0
2005-10-28,562.9125,566.6504,550.989,554.1288,11262769.0,0.0
2005-10-31,554.6894,571.8833,552.5214,570.0516,7919450.0,0.0
2005-11-02,572.7804,582.3492,566.0523,580.9288,6696333.0,0.0
2005-11-07,581.3772,590.9086,576.3686,588.4042,7202839.0,0.0
2005-11-08,589.8246,594.0111,585.0403,590.7592,8699051.0,0.0
2005-11-09,592.0674,598.758,588.7032,591.731,8870152.0,0.0
2005-11-10,592.1047,594.3101,585.6757,587.2455,5864463.0,0.0
2005-11-11,588.3295,601.1128,588.3295,594.7212,8984376.0,0.0
2005-11-14,596.6649,600.2158,589.4882,596.3285,5228194.0,0.0
2005-11-16,601.7856,612.0273,598.459,611.13,8632960.0,0.0
2005-11-17,612.9991,621.5212,609.4482,619.914,8160494.0,0.0
2005-11-18,621.2222,624.175,614.9428,617.1106,6664804.0,0.0
2005-11-21,616.7369,623.4276,613.7465,619.615,9120447.0,0.0
2005-11-22,619.7271,627.1654,610.0836,612.401,13686835.0,0.0
2005-11-23,612.9991,622.9416,612.4384,622.0072,9408159.0,0.0
2005-11-24,622.9042,633.9308,622.9042,631.202,8247183.0,0.0
2005-11-25,633.1831,633.5944,625.4084,630.4172,8659821.0,0.0
2005-11-28,632.5851,636.0986,630.7163,633.4074,5965153.0,0.0
2005-11-29,633.1831,647.3868,628.6978,634.0055,16000956.0,0.0
2005-11-30,636.8462,639.9111,620.5868,622.6426,9804382.0,0.0
2005-12-01,623.3902,630.5293,620.4747,628.1371,8665111.0,0.0
2005-12-02,628.6978,634.6408,625.147,627.2401,6572098.0,0.0
2005-12-05,627.9502,642.1539,625.0721,627.3521,6966536.0,0.0
2005-12-06,624.0629,633.0337,620.1757,625.2217,9496156.0,0.0
2005-12-07,626.5298,633.4821,620.4747,630.5666,7025439.0,0.0
2005-12-08,631.6507,634.8652,624.96,632.3608,18177371.0,0.0
2005-12-09,637.6686,647.0131,634.1551,645.7794,26057143.0,0.0
2005-12-12,650.2276,652.9934,642.9015,645.032,22496092.0,0.0
2005-12-13,648.2091,653.8905,642.1539,651.7974,25159857.0,0.0
2005-12-14,652.246,653.9654,640.285,643.2752,19754073.0,0.0
2005-12-15,644.3217,646.415,627.9502,631.9497,6918103.0,0.0
2005-12-16,635.3511,637.7059,627.9502,634.6035,8112615.0,0.0
